127.0.0.1 - - [02/Jan/2023:06:24:53 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET / HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/mdi/materialdesignicons.min.css HTTP/1.1" 200 176523
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/css/style.css HTTP/1.1" 200 793043
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/owl-carousel-2/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:54 +0900] "GET /assets/vendors/owl-carousel-2/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:55 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:55 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:24:55 +0900] "GET /favicon.ico HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "POST /UserLoginCtrl.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "GET /assets/fonts/Rubik/Rubik-Bold.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:11 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:12 +0900] "GET /favicon.ico HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /GetMainCtrl.do HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /assets/fonts/Rubik/Rubik-Bold.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /assets/fonts/Rubik/Rubik-Regular.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:44 +0900] "GET /favicon.ico HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:53 +0900] "GET /assets/css/maps/style.css.map HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:25:53 +0900] "GET /assets/vendors/mdi/materialdesignicons.css.map HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:26:07 +0900] "GET /mail.html HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [02/Jan/2023:06:26:07 +0900] "GET /assets/fonts/Rubik/Rubik-Medium.ttf HTTP/1.1" 200 1854
